NAME,CATEGORY,CODE,UNIT COST,SELLING PRICE,QTY,UNIT,REORDER_LEVEL,SUPPLIER,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18
PULLEY SET JVT PCX160,CVT/TRANSMISSION,BMSF,"₱2,405.00","₱3,300.00",2,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET MRTR MIO M3,CVT/TRANSMISSION,MFS,₱450.00,₱750.00,3,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET RS8 ADV,CVT/TRANSMISSION,BFQS,"₱2,530.00","₱3,300.00",1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET RS8 AEROX V2,CVT/TRANSMISSION,BLFB,"₱2,852.00","₱3,650.00",1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET RS8 CLICK150,CVT/TRANSMISSION,NJFF,"₱1,955.00","₱2,850.00",2,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET SRF MIO I125,CVT/TRANSMISSION,QBFF,"₱3,255.00","₱3,980.00",1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET SRF NMAX/AEROX,CVT/TRANSMISSION,NMLS,"₱1,480.00","₱2,300.00",1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET SRF NMAX/AEROX CVT SET,CVT/TRANSMISSION,QMZF,"₱3,465.00","₱4,350.00",1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET SUN RACING BEATFI,CVT/TRANSMISSION,NVZS,"₱1,760.00","₱2,300.00",1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET SUN RACING CLICK125/150,CVT/TRANSMISSION,NVVS,"₱1,770.00","₱2,650.00",1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET SUN RACING NMAX155 V3,CVT/TRANSMISSION,BLMS,"₱2,840.00","₱3,500.00",1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET SUNTAL MIO I125/SOUL I125,CVT/TRANSMISSION,ZLS,₱680.00,"₱1,100.00",3,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET SUNTAL NMAX V2/AEROX V2,CVT/TRANSMISSION,LJS,₱890.00,"₱1,350.00",1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET YAMAKOTO CLICK125,CVT/TRANSMISSION,FBS,₱520.00,₱850.00,1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY SET YAMAKOTO MIO,CVT/TRANSMISSION,QLS,₱380.00,₱750.00,1,SET,0,NA,,,,,,,,,,,,,,,,
PULLEY WASHER HIRC 1MM NMAX,CVT/TRANSMISSION,MS,₱40.00,₱120.00,6,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY WASHER RS8 1/0.5MM CLICK,CVT/TRANSMISSION,ML,₱48.00,₱120.00,19,PC,0,NA,,,,,,,,,,,,,,,,
PULLEY WASHER RS8 1/0.5MM NMAX/AEROX,CVT/TRANSMISSION,ML,₱48.00,₱120.00,19,PC,0,NA,,,,,,,,,,,,,,,,
RADIATOR COVER BOMX CLICK/PCX/ADV SPINNER,ACCESSORIES,LFS,₱850.00,"₱1,100.00",2,PC,0,NA,,,,,,,,,,,,,,,,
RADIATOR COVER BOMX NMAXV2/AEROXV2,ACCESSORIES,ZJS,₱690.00,₱980.00,2,PC,0,NA,,,,,,,,,,,,,,,,
REAR FENDER S/S TMX CHROME,FAIRINGS,QQS,₱330.00,₱750.00,2,PC,0,NA,,,,,,,,,,,,,,,,
REAR FENDER W100 BLK,FAIRINGS,QSC,₱300.00,₱600.00,3,PC,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK MAKOTO TMX BLU,SUSPENSION,VLF,₱785.00,"₱1,350.00",1,SET,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK MOTOSPEED FURY BLK,SUSPENSION,LFS,₱850.00,"₱1,400.00",1,PC,0,NA,,,,,,,,,,,,,,,,
REAR SHOCK MOTOSPEED FURY BLU,SUSPENSION,LFS,₱850.00,"₱1,400.00",1,PC,0,NA,,,,,,,,,,,,,,,,
